time,data
1,55.98936707
2,47.38336812
3,56.76866283
4,50.524028
5,53.52628908
6,49.48133488
7,49.79380587
8,48.20903403
9,46.23991875
10,46.37990587
11,42.26386752
12,42.779907
13,41.65962163
14,40.75807763
15,47.68520043
16,42.25606683
17,42.47208512
18,39.91987363
19,47.06060323
20,47.99868928
21,46.05173075
22,46.065163
23,42.49032243
24,43.31141987
25,42.95505907
26,38.08753675
27,47.361643
28,42.26386752
29,43.70311852
30,43.44271387
31,48.343075
32,47.12834048
33,43.74525932
34,46.15116492
35,40.68114443
36,42.00672987
37,41.94188912
38,38
39,44.23627328
40,39.54884675
41,42.49553363
42,45.43279628
43,48.76528448
44,47.79142512
45,46.47421932
46,45.52101947
47,41.86672083
48,43.18551875
49,44.71342448
50,40.25897708
51,50.34872987
52,47.58722787
53,52.149072
54,47.34263667
55,50.33204723
56,49.73014348
57,48.81472652
58,49.17238512
59,43.34029168
60,45.74588243
61,46.54163107
62,45.90139203
63,51.46297328
64,48.58142107
65,49.663747
66,50.32092667
67,55.37596203
68,52.99185772
69,51.28920588
70,51.558363
71,45.67355888
72,48.42795083
73,47.92774412
74,43.829587
75,50.62151875
76,44.82503948
77,48.44712432
78,50.51567507
79,54.87164528
80,53.55477568
81,51.839323
82,51.80838803
83,46.20494732
84,50.43217547
85,49.48133488
86,44.81972208
87,52.84157675
88,48.64999532
89,52.46237283
90,50.23199675
91,56.99628243
92,55.82417708
93,54.84863472
94,55.40772332
95,51.94061548
96,51.754972
97,50.29312947
98,46.58749248
99,56.91744972
100,54.65032803
101,57.584523
102,54.42936652
103,56.11411308
104,56.61420652
105,54.51541312
106,55.16824923
107,50.44608832
108,53.19060032
109,51.222003
110,49.13657363
111,56.15765523
112,47.04976875
113,50.59922867
114,54.70777883
115,60.99968963
116,61.71578403
117,59.66394188
118,59.27771968
119,53.20480747
120,56.62294483
121,54.70203267
122,49.07874572
123,59.66394188
124,56.89701875
125,61.49879187
126,57.37645963
127,62.87528972
128,60.42447683
129,60.08697408
130,63.34399488
131,54.91480043
132,56.93204507
133,55.77494763
134,50.82509312
135,58.56440547
136,56.66664448
137,62.55956652
138,58.113363
139,60.11382675
140,60.34077643
141,63.07598912
142,61.36934768
143,55.90529868
144,59.13240675
145,57.35596272
146,51.03737328
147,62.81756107
148,55.77494763
149,59.71452283
150,59.94682243
